,summary,rank,years_on_force,disciplined,category,allegation_name,verbal_abuse,verbal_abuse_weight
887,"On December 15, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding an incident that occurred on December 15, 2006 in the 12th District involving a Chicago Police Department (CPD) Sergeant (Sergeant A) and six off-duty Officers (Officer B through F). It was alleged that Sergeant A and Officer C physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; prevented Victims A through D from obtaining police assistance; failed to complete a Tactical Response Report regarding the incident; and engaged in conduct which brought discredit upon the Department. It was alleged that Officer B physically maltreated Victims A through D; engaged in an improper verbal altercation; was in possession of a firearm while consuming alcohol in violation of a General Order; failed to maintain control of his weapon; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. It was also alleged that Officer D and F physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit on the Department. It was also alleged that Officer E engaged in an improper verbal and/or physical altercation; was in possession of a firearm that was not registered to him in violation of a General Order; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; unnecessarily displayed a weapon; failed to complete a Tactical Response Report regarding this incident; and engaged in conduct which brought discredit on the Department. It was alleged that Officer G failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. IPRAs investigation consisted of statements from the accused members, complainants and witnesses, video recordings, photographs, medical records, 911 calls, and departmental records. IPRA recommended a finding of EXONERATED for the allegation that both Sergeant G and Officer C failed to complete a Tactical Response Report regarding the incident. Further, IPRA recommended to SUSTAIN the allegation that both Sergeant G and Officer C engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; prevented Victims A through D from obtaining police assistance; and engaged in conduct which brought discredit upon the Department. IPRA also recommended to SUSTAIN the allegation that Sergeant G physically maltreated Victims A through C. IPRA recommended to SUSTAIN the allegation that Officer C physically maltreated Victim D. IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer B physically maltreated Victims A through D. IPRA recommended to SUSTAIN the allegations that Officer B engaged in an improper verbal altercation; was in possession of a firearm while consuming alcohol in violation of a General Order; failed to maintain control of his weapon; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. IPRA recommended a finding of CLOSED-HOLD for all allegations against Officer D because he resigned and did not address the allegations against him. IPRA recommended a finding of UNFOUNDED for the allegation that Officer E unnecessarily displayed a weapon. IPRA recommended a finding of EXONERATED for the allegation that Officer E failed to complete a Tactical Response Report regarding this incident. IPRA recommended a finding of SUSTAINED for the allegations that Officer E engaged in an improper verbal and/or physical altercation; was in possession of a firearm that was not registered to him in violation of a General Order; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit on the Department. IPRA recommended a finding of UNFOUNDED for the allegations that Officer F physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; and engaged in conduct which brought discredit on the Department. IPRA recommended a finding of SUSTAINED for the allegations that Officer F failed to report information concerning a crime or other unlawful actions; and failed to report a fellow members misconduct. IPRA recommended a finding of UNFOUNDED for the allegation that Officer G engaged in conduct which brought discredit upon the department. IPRA recommended a finding of SUSTAINED for allegations that Officer G failed to report information concerning a crime or other unlawful actions and failed to report a fellow members misconduct. IPRA recommended a forty-five (45) day suspension for Sergeant A, thirty (30) day suspension for Officer B, twenty-five (25) day suspension for Officer C, thirty (30) day suspension for Officer E, fifteen (15) day suspension for Officer F, and a five (5) days suspension for Officer G.",Police Officer,16,True,Operation/Personnel Violations,Reports,0,0
888,"On 01 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 4th District, in which an off-duty Chicago Police Department allegedly struck an individual in the mouth, shoved her to the ground, grabbed her hair, and kicked her about the ribs and abdomen. It was further alleged that the accused member verbally abused a superior officer and other responding officers to the scene of the incident, disobeyed a direct order given by the superior officer, was insubordinate and disrespectful to the superior officer, was intoxicated and was in possession of a firearm while intoxicated. Although the complaining victim submitted a drop complaint request, based on her initial report and statements to responding officers, witnesses and hospital staff, IPRA recommended to SUSTAIN the allegation that the accused member struck her in the mouth, shoved her to the ground, grabbed her hair, and kicked her about the ribs and abdomen. Based on the accused members admissions and corroborating witness statements, IPRA recommended to SUSTAIN the allegations that the accused member was verbally abusive, insubordinate and disrespectful to a superior officer. Further, IPRA recommended to SUSTAIN the allegation that the accused member disobeyed the direct order of a superior officer, based on corroborating witness statements. Because of the accused members admissions, witness statements from the responding officers, and the results of a urine specimen which tested above the legal limit, IPRA recommended to SUSTAIN the allegation that the accused member was intoxicated; and lastly, because of corroborating witness statements, IPRA recommended to SUSTAIN the allegation that the accused member was in possession of a loaded firearm while intoxicated. In addition, IPRA recommended to SUSTAIN further allegations that the accused members actions brought discredit and/or disrepute to the Department, violated the law, and that the accused member provided a false report/statement to the Office of Professional Standards about incident. IPRA recommended separation from the Department for the accused member.",Police Officer,26,True,Domestic,Domestic Altercation - Physical Abuse,1,6
889,"On January 4, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents that occurred between January 2006 and December 2006 in the 13th, 20th and 24th districts involving an off- duty CPD Officer. It was alleged that the accused officer sent complainant numerous threatening and harassing text messages; directed profanity towards the complainant; violated a court order by sending text messages to complainant for reasons other than child related matters, work related messages or personal mail; and brought discredit upon the department by her overall actions. Based upon statements of the accused and complainant, records, reports, text messages and court documents, IPRA recommended a finding of UNFOUNDED for the allegation that the accused sent complainant numerous threatening and harassing text messages. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that the accused directed profanity towards the complainant. IPRA recommended to SUSTAIN the allegations that the accused violated a court order by sending text messages to complainant for reasons other than child related matters, work related messages or personal mail and brought discredit upon the department by her overall actions. IPRA recommended a three (3) day suspension for the accused officer.",Police Officer,17,True,Domestic,Domestic Incident - Not Physical,1,8
890,"On January 4, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents that occurred between January 2006 and December 2006 in the 13th, 20th and 24th districts involving an off- duty CPD Officer. It was alleged that the accused officer sent complainant numerous threatening and harassing text messages; directed profanity towards the complainant; violated a court order by sending text messages to complainant for reasons other than child related matters, work related messages or personal mail; and brought discredit upon the department by her overall actions. Based upon statements of the accused and complainant, records, reports, text messages and court documents, IPRA recommended a finding of UNFOUNDED for the allegation that the accused sent complainant numerous threatening and harassing text messages. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that the accused directed profanity towards the complainant. IPRA recommended to SUSTAIN the allegations that the accused violated a court order by sending text messages to complainant for reasons other than child related matters, work related messages or personal mail and brought discredit upon the department by her overall actions. IPRA recommended a three (3) day suspension for the accused officer.",Sergeant of Police,22,False,Domestic,Domestic Incident - Not Physical,1,8
891,"On January 18, 2007, a complaint was registered with the Independent Police Review Authority regarding an incident occurring in the 14th District, on October 10, 2006, involving two on-duty Chicago Police Department police officers (Officer A and Officer B), two on-duty Sergeants (Sergeant C and Sergeant D), and an on-duty Captain. It was alleged that Officer A falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Officer B falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim. It was alleged that Sergeant D failed to document the authorization for a strip search. It was alleged that the Captain failed to document the authorization for a strip search. IPRA recommended to NOT SUSTAIN the allegation that Officer A falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer A took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that the Officer A conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer A failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended to NOT SUSTAIN the allegation that Officer B falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer B took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that Officer B conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer B failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended a finding of UNFOUNDED for allegations that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim due to the lack of evidence that Sergeant C had contact with the victim. In addition, the victim failed to report being kicked in the groin while being treated by medical authorities soon after the alleged incident. IPRA recommended a finding of EXONERATED for the allegation that Sergeant D failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a finding of EXONERATED for the allegation that the Captain failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a one (1) day suspension for both Officer A and Officer B.",Sergeant of Police,51,False,Supervisory Responsibilities,Initiate Proper Action,0,0
892,"On January 18, 2007, a complaint was registered with the Independent Police Review Authority regarding an incident occurring in the 14th District, on October 10, 2006, involving two on-duty Chicago Police Department police officers (Officer A and Officer B), two on-duty Sergeants (Sergeant C and Sergeant D), and an on-duty Captain. It was alleged that Officer A falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Officer B falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim. It was alleged that Sergeant D failed to document the authorization for a strip search. It was alleged that the Captain failed to document the authorization for a strip search. IPRA recommended to NOT SUSTAIN the allegation that Officer A falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer A took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that the Officer A conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer A failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended to NOT SUSTAIN the allegation that Officer B falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer B took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that Officer B conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer B failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended a finding of UNFOUNDED for allegations that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim due to the lack of evidence that Sergeant C had contact with the victim. In addition, the victim failed to report being kicked in the groin while being treated by medical authorities soon after the alleged incident. IPRA recommended a finding of EXONERATED for the allegation that Sergeant D failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a finding of EXONERATED for the allegation that the Captain failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a one (1) day suspension for both Officer A and Officer B.",Police Officer,22,True,Operation/Personnel Violations,Insubordination,0,0
893,"On January 18, 2007, a complaint was registered with the Independent Police Review Authority regarding an incident occurring in the 14th District, on October 10, 2006, involving two on-duty Chicago Police Department police officers (Officer A and Officer B), two on-duty Sergeants (Sergeant C and Sergeant D), and an on-duty Captain. It was alleged that Officer A falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Officer B falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim. It was alleged that Sergeant D failed to document the authorization for a strip search. It was alleged that the Captain failed to document the authorization for a strip search. IPRA recommended to NOT SUSTAIN the allegation that Officer A falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer A took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that the Officer A conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer A failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended to NOT SUSTAIN the allegation that Officer B falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer B took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that Officer B conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer B failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended a finding of UNFOUNDED for allegations that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim due to the lack of evidence that Sergeant C had contact with the victim. In addition, the victim failed to report being kicked in the groin while being treated by medical authorities soon after the alleged incident. IPRA recommended a finding of EXONERATED for the allegation that Sergeant D failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a finding of EXONERATED for the allegation that the Captain failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a one (1) day suspension for both Officer A and Officer B.",Lieutenant of Police,25,False,Use Of Force,Excessive Force / On Duty - Injury,0,0
894,"On January 18, 2007, a complaint was registered with the Independent Police Review Authority regarding an incident occurring in the 14th District, on October 10, 2006, involving two on-duty Chicago Police Department police officers (Officer A and Officer B), two on-duty Sergeants (Sergeant C and Sergeant D), and an on-duty Captain. It was alleged that Officer A falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Officer B falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim. It was alleged that Sergeant D failed to document the authorization for a strip search. It was alleged that the Captain failed to document the authorization for a strip search. IPRA recommended to NOT SUSTAIN the allegation that Officer A falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer A took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that the Officer A conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer A failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended to NOT SUSTAIN the allegation that Officer B falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer B took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that Officer B conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer B failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended a finding of UNFOUNDED for allegations that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim due to the lack of evidence that Sergeant C had contact with the victim. In addition, the victim failed to report being kicked in the groin while being treated by medical authorities soon after the alleged incident. IPRA recommended a finding of EXONERATED for the allegation that Sergeant D failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a finding of EXONERATED for the allegation that the Captain failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a one (1) day suspension for both Officer A and Officer B.",Police Officer,24,True,Operation/Personnel Violations,Insubordination,0,0
895,"On January 18, 2007, a complaint was registered with the Independent Police Review Authority regarding an incident occurring in the 14th District, on October 10, 2006, involving two on-duty Chicago Police Department police officers (Officer A and Officer B), two on-duty Sergeants (Sergeant C and Sergeant D), and an on-duty Captain. It was alleged that Officer A falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Officer B falsely arrested the victim for drugs that did not belong to him, took money from the victim and failed to inventory or return the money, conducted a strip search without prior written approval from the Watch Commander, and failed to document on the arrest report that a strip search was conducted on the victim. It was alleged that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim. It was alleged that Sergeant D failed to document the authorization for a strip search. It was alleged that the Captain failed to document the authorization for a strip search. IPRA recommended to NOT SUSTAIN the allegation that Officer A falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer A took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that the Officer A conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer A failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended to NOT SUSTAIN the allegation that Officer B falsely arrested the victim for drugs that did not belong to him, because there was insufficient evidence to prove or disprove the allegations due to the officers statements they found drugs, physical evidence of drugs found on him, and the victims admission that he used drugs. IPRA recommended to NOT SUSTAIN the allegation that Officer B took money from the victim and failed to inventory or return the money due to the lack of evidence to support or refute the victims allegations. IPRA recommended to SUSTAIN the allegation that Officer B conducted a strip search without prior written approval from the Watch Commander based on the officers own admission. IPRA recommended to SUSTAIN the allegation that Officer B failed to document on the arrest report that a strip search was conducted on the victim based on the officers own admission. IPRA recommended a finding of UNFOUNDED for allegations that Sergeant C kicked the victim in the groin, threatened to kill the victim, and directed profanities at the victim due to the lack of evidence that Sergeant C had contact with the victim. In addition, the victim failed to report being kicked in the groin while being treated by medical authorities soon after the alleged incident. IPRA recommended a finding of EXONERATED for the allegation that Sergeant D failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a finding of EXONERATED for the allegation that the Captain failed to document the authorization for a strip search due to statements made by Officers A and B corroborating his story that the officers failed to seek out permission to conduct the strip search. IPRA recommended a one (1) day suspension for both Officer A and Officer B.",Captain of Police,43,False,Supervisory Responsibilities,Initiate Proper Action,0,0
896,"On 26 February 2007, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards) against a Chicago Police Department officer alleging that he sent threatening and derogatory communications to a private citizen living outside of the municipal jurisdiction. Because of material evidence produced by the complainant and an admission of the misconduct by the accused, IPRA recommended to SUSTAIN the allegation that the accused sent threatening and derogatory communications. IPRA recommended a reprimand of the accused officer.",Police Officer,22,True,Use Of Force,Excessive Force - Use Of Firearm / On Duty - No Injury,0,0
897,"In an incident involving five on-duty CPD Officers (A, B, C, D and an Unknown Officer) and the Complainant, it was alleged that Officers A and B grabbed, pulled, punched and tackled the Complainant; and subsequently refused to call a supervisor upon request. Other allegations against Officer A also included his use of profanity. Allegations against Officer C,D and the Unknown Officer were that they stopped, searched and detained the Complainant without justification; grabbed, choked and smashed the Complainants hands on the hood of vehicle; used profanities; threw the Complainants food on the ground, and refused to provide their names and star numbers.",Police Officer,20,False,Use Of Force,Excessive Force / On Duty - No Injury,1,3
898,"In an incident involving five on-duty CPD Officers (A, B, C, D and an Unknown Officer) and the Complainant, it was alleged that Officers A and B grabbed, pulled, punched and tackled the Complainant; and subsequently refused to call a supervisor upon request. Other allegations against Officer A also included his use of profanity. Allegations against Officer C,D and the Unknown Officer were that they stopped, searched and detained the Complainant without justification; grabbed, choked and smashed the Complainants hands on the hood of vehicle; used profanities; threw the Complainants food on the ground, and refused to provide their names and star numbers.",Police Officer,20,False,Use Of Force,Excessive Force / On Duty - No Injury,1,3
899,"In an incident involving five on-duty CPD Officers (A, B, C, D and an Unknown Officer) and the Complainant, it was alleged that Officers A and B grabbed, pulled, punched and tackled the Complainant; and subsequently refused to call a supervisor upon request. Other allegations against Officer A also included his use of profanity. Allegations against Officer C,D and the Unknown Officer were that they stopped, searched and detained the Complainant without justification; grabbed, choked and smashed the Complainants hands on the hood of vehicle; used profanities; threw the Complainants food on the ground, and refused to provide their names and star numbers.",Police Officer,28,False,Use Of Force,Excessive Force / On Duty - No Injury,1,3
900,"In an incident involving five on-duty CPD Officers (A, B, C, D and an Unknown Officer) and the Complainant, it was alleged that Officers A and B grabbed, pulled, punched and tackled the Complainant; and subsequently refused to call a supervisor upon request. Other allegations against Officer A also included his use of profanity. Allegations against Officer C,D and the Unknown Officer were that they stopped, searched and detained the Complainant without justification; grabbed, choked and smashed the Complainants hands on the hood of vehicle; used profanities; threw the Complainants food on the ground, and refused to provide their names and star numbers.",Police Officer,17,False,Use Of Force,Excessive Force / On Duty - Injury,1,3
901,"On February 26, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents occurring in the 11th District on February 22, 2007, and in the 14th District on February 23, 2007, involving four Chicago Police Department (CPD) Officers (Officers A, B, C, and D), one CPD Sergeant (Sergeant E) and unknown CPD Officers. It was alleged by the complainant that Officer A stomped on his face without justification; kicked him without justification; and handcuffed him too tightly. It was further alleged by the complainant that Officers B and C directed racial slurs at him; directed profanities at him; and handcuffed him too tightly. It was further alleged by the complainant that Officer D threatened to plant drugs on him. It was further alleged by the complainant that Sergeant E failed to obtain a Complaint Register (CR) number after being made aware of allegations of possible misconduct. It was further alleged by the complainant that unknown officers kicked him about the head and body without justification; punched him on the face without justification; stepped on his hand without justification; discharged a Taser on him without justification; damaged his vehicle; and took his personal belongings. It was further alleged by the complainant that an unknown officer spat on him. Based on statements from the accused officers, reports, and photographs, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A stomped on the complainants face without justification; kicked him without justification; and handcuffed him too tightly. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer B handcuffed the complainant too tightly; and punched him on the body without justification. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer C directed racial slurs at the complainant; directed profanities at him; and handcuffed him too tightly. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer D threatened to plant drugs on the complainant. Further, based on the complainants and Sergeants statements, IPRA recommended to SUSTAIN the allegation that Sergeant E failed to obtain a CR number after being made aware of allegations of misconduct. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that unknown officers kicked the complainant about the head and body without justification; punched him on the face without justification; stepped on his hand without justification; discharged a Taser on him without justification; damaged his vehicle; took his personal belongings; and spat on him. IPRA recommended a three (3) day suspension for Sergeant E.",Sergeant of Police,39,True,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,1,9
902,"On February 26, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents occurring in the 11th District on February 22, 2007, and in the 14th District on February 23, 2007, involving four Chicago Police Department (CPD) Officers (Officers A, B, C, and D), one CPD Sergeant (Sergeant E) and unknown CPD Officers. It was alleged by the complainant that Officer A stomped on his face without justification; kicked him without justification; and handcuffed him too tightly. It was further alleged by the complainant that Officers B and C directed racial slurs at him; directed profanities at him; and handcuffed him too tightly. It was further alleged by the complainant that Officer D threatened to plant drugs on him. It was further alleged by the complainant that Sergeant E failed to obtain a Complaint Register (CR) number after being made aware of allegations of possible misconduct. It was further alleged by the complainant that unknown officers kicked him about the head and body without justification; punched him on the face without justification; stepped on his hand without justification; discharged a Taser on him without justification; damaged his vehicle; and took his personal belongings. It was further alleged by the complainant that an unknown officer spat on him. Based on statements from the accused officers, reports, and photographs, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A stomped on the complainants face without justification; kicked him without justification; and handcuffed him too tightly. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer B handcuffed the complainant too tightly; and punched him on the body without justification. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer C directed racial slurs at the complainant; directed profanities at him; and handcuffed him too tightly. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer D threatened to plant drugs on the complainant. Further, based on the complainants and Sergeants statements, IPRA recommended to SUSTAIN the allegation that Sergeant E failed to obtain a CR number after being made aware of allegations of misconduct. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that unknown officers kicked the complainant about the head and body without justification; punched him on the face without justification; stepped on his hand without justification; discharged a Taser on him without justification; damaged his vehicle; took his personal belongings; and spat on him. IPRA recommended a three (3) day suspension for Sergeant E.",Police Officer,25,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,1,9
